,labels,count,top_state,state_count,first_day,last_day,#_days,year_50%,month_50%,diff_year,diff_month,latitude_mean,latitude_50%,diff_latitude,longitude_mean,longitude_50%,diff_longitude,brightness_mean,brightness_50%,brightness_std,diff_brightness,frp_mean,frp_50%,frp_std,diff_frp,nearest_aq_monitor,SITE_LATITUDE,SITE_LONGITUDE,geometry,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,cluster
0,8,19,AZ,1,2001-07-16,2001-07-24,9,2001,7,0.0,0.0,34.31206315789474,34.3063,0.0518,-111.78057368421052,-111.7818,0.0533000000000072,353.92105263157896,357.9,19.054500166842143,67.5,167.91052631578947,128.0,119.05539277877168,479.0,"(34.3405555810641, -111.683923256843)",34.3405555810641,-111.683923256843,POINT (-111.683923256843 34.3405555810641),5.9,25,0
1,10,7,CO,1,2001-07-25,2001-07-30,6,2001,7,0.0,0.0,40.66394285714286,40.6658,0.0121000000000037,-106.77419999999998,-106.7775,0.0323999999999955,331.1,325.0,15.202960238058909,43.80000000000001,62.72857142857142,32.9,70.78885774578073,194.7,"(40.5383, -106.6766)",40.5383,-106.6766,POINT (-106.6766 40.5383),3.4,14,0
2,17,6,OR,1,2001-08-04,2001-08-05,2,2001,8,0.0,0.0,42.30015,42.30145,0.0159999999999982,-121.31186666666666,-121.3094,0.0344999999999942,335.18333333333334,335.05,12.075167355638044,38.0,73.73333333333333,43.75,73.60651239303942,185.0,"(42.190296, -121.731369)",42.190296,-121.731369,POINT (-121.731369 42.190296),2.7,11,0
3,27,11,OR,1,2001-08-11,2001-08-12,1,2001,8,0.0,0.0,42.114281818181816,42.1124,0.0223999999999975,-120.17310909090908,-120.175,0.0290999999999996,351.3090909090909,341.5,24.135138472586167,62.89999999999998,109.2,85.9,72.25794074010136,200.5,"(42.189215, -120.353969)",42.189215,-120.353969,POINT (-120.353969 42.189215),16.7,61,0
4,48,6,OR,1,2001-08-16,2001-08-16,1,2001,8,0.0,0.0,42.28953333333333,42.2899,0.0191000000000016,-121.30351666666668,-121.3035,0.0178999999999973,351.9166666666667,347.9,28.600938213049357,85.80000000000001,96.95,65.25,105.39576367198067,289.6,"(42.190296, -121.731369)",42.190296,-121.731369,POINT (-121.731369 42.190296),14.6,56,0
5,52,7,NV,1,2001-08-17,2001-08-17,1,2001,8,0.0,0.0,40.03861428571428,40.0381,0.0193999999999974,-115.12768571428572,-115.1266,0.0251999999999981,402.4,394.3,34.385122751949964,99.8,311.75714285714287,202.9,318.4941907222321,905.2,"(39.00512, -114.21593)",39.00512,-114.21593,POINT (-114.21593 39.00512),6.0,25,0
6,55,11,NV,1,2001-08-18,2001-08-20,3,2001,8,0.0,0.0,41.622263636363634,41.6184,0.0597000000000065,-117.65145454545454,-117.6513,0.1254999999999881,346.6090909090909,342.8,21.82014915372736,71.59999999999997,176.45454545454547,150.9,134.4481488428633,467.9,"(41.8924989934688, -115.427014818654)",41.8924989934688,-115.427014818654,POINT (-115.427014818654 41.8924989934688),6.4,27,0
7,66,10,NV,1,2001-08-27,2001-08-29,3,2001,8,0.0,0.0,39.87958,39.8804,0.0304000000000002,-115.27266,-115.27035,0.0386000000000024,350.47,345.75,21.749638566601007,66.39999999999998,196.4,72.75,282.7838711415094,831.5,"(39.00512, -114.21593)",39.00512,-114.21593,POINT (-114.21593 39.00512),4.6,19,0
8,73,13,MT,1,2001-09-04,2001-09-04,1,2001,9,0.0,0.0,46.74963846153845,46.7494,0.0289000000000001,-110.58127692307691,-110.5806,0.033699999999996,379.75384615384615,387.3,46.09263526466051,114.3,231.44615384615383,179.9,186.2706570888386,466.3,"(46.8261027575384, -111.711573105358)",46.8261027575384,-111.711573105358,POINT (-111.711573105358 46.8261027575384),4.3,18,0
9,85,14,MT,1,2001-10-02,2001-10-04,3,2001,10,0.0,0.0,47.75795,47.75635,0.0368999999999957,-112.91046428571428,-112.9157,0.0751999999999952,367.4071428571429,354.1,40.38384033793172,123.3,228.62857142857143,125.4,231.9383984150547,708.1999999999999,"(47.1220914826315, -113.155326029911)",47.1220914826315,-113.155326029911,POINT (-113.155326029911 47.1220914826315),9.8,41,0
10,89,16,AZ,1,2002-04-30,2002-05-02,2,2002,4,0.0,1.0,31.5457625,31.54525,0.0408000000000008,-110.56488125,-110.56485,0.0741000000000013,368.48125,367.65,13.77689944556949,39.599999999999966,294.74375,275.45000000000005,139.91914793313077,462.9,"(31.337204, -110.936718)",31.337204,-110.936718,POINT (-110.936718 31.337204),8.7,36,0
11,89,16,AZ,1,2002-04-30,2002-05-02,2,2002,4,0.0,1.0,31.5457625,31.54525,0.0408000000000008,-110.56488125,-110.56485,0.0741000000000013,368.48125,367.65,13.77689944556949,39.599999999999966,294.74375,275.45000000000005,139.91914793313077,462.9,"(31.337204, -110.936718)",31.337204,-110.936718,POINT (-110.936718 31.337204),8.6,36,0
12,97,8,NM,1,2002-06-02,2002-06-02,1,2002,6,0.0,0.0,36.943312500000005,36.94085,0.045500000000004,-103.23516250000002,-103.2328,0.035899999999998,362.9,361.2,6.06983172277923,20.399999999999977,71.0,65.85,18.765850443215808,61.7,"(38.2630580009176, -104.612133)",38.2630580009176,-104.612133,POINT (-104.612133 38.2630580009176),3.9,16,0
13,101,13,UT,1,2002-06-06,2002-06-13,7,2002,6,0.0,0.0,37.497653846153845,37.5109,0.0842000000000027,-112.91136923076922,-112.9008,0.0718000000000103,349.423076923077,355.0,26.47691302015632,86.0,126.4076923076923,91.4,114.45267917017397,344.0,"(37.4590792498345, -113.225096226647)",37.4590792498345,-113.225096226647,POINT (-113.225096226647 37.4590792498345),4.9,20,0
